Oil	CPI	Rate	SP500
6.2830	0.6423	0.0500	2.0501
-8.2069	0.4658	-0.2900	0.5094
-4.7077	-0.1063	-0.1700	-3.8868
1.0746	0.0886	0.0000	2.9017
-11.9622	0.2741	-0.7000	-11.1552
-0.9427	0.1544	-0.3200	-0.9690
0.9311	-0.2074	0.1700	2.8006
11.8298	-0.0840	-0.1400	1.5779
1.4306	-0.2478	-0.0300	1.3686
1.7201	0.4377	-0.0100	4.5025
1.9065	0.4402	0.0000	3.9137
3.8016	0.7570	0.2000	2.6809
-2.7116	0.3047	-0.1200	-0.2025
-8.7539	-0.1218	-0.2500	-3.3115
-13.9920	-0.1437	-0.1800	-1.3352
6.5829	-0.1657	-0.0900	2.7058
6.8477	0.5572	0.1500	3.1611
0.4029	0.4461	0.0400	2.8082
-5.4579	-0.0389	0.0300	-0.3887
-3.3636	-0.4767	-0.1000	-3.0585
1.5253	-0.2697	0.0700	1.9725
7.5603	0.2957	0.1900	4.0044
0.5787	0.8174	0.0700	2.1326
-2.5181	0.2581	-0.0200	2.5152
-0.9948	-0.1032	-0.2000	1.2731
2.6700	0.1762	0.1700	4.3077
1.3244	0.2401	0.3700	-1.2932
8.8863	0.0428	0.2800	3.0366
1.7990	0.1198	0.1600	0.0845
-0.2631	0.1154	0.0700	1.0175
-5.5616	-0.2566	-0.1900	1.9289
-6.8751	-0.2057	0.1000	3.6258
3.9381	-0.0086	0.1800	1.3499
-3.1316	0.3726	-0.0400	0.8033
6.3468	0.3670	-0.1500	-0.2924
-0.0198	0.6411	0.0100	2.5258
1.2520	0.3296	-0.0100	0.0397
0.1077	0.3495	-0.1500	1.3591
3.4720	0.1848	0.0400	2.9881
-2.1015	-0.0378	-0.0600	1.3270
-7.0483	-0.1680	-0.1200	-0.5881
-3.5102	0.0756	0.1100	1.6032
-9.9288	-0.2524	-0.2300	-2.8477
-10.7601	-0.5406	0.0300	5.3908
-24.5526	-0.5691	-0.1200	0.4733
-22.7623	-0.4696	-0.3300	-1.2782
6.8739	0.4312	0.1000	2.6286
-5.6112	0.5947	0.0600	-0.1062
12.9839	0.2031	-0.1000	0.7124
8.4820	0.5101	0.2600	0.8120
0.9237	0.3484	0.1600	-0.6008
-16.1477	0.0042	-0.0400	-0.2456
-17.1691	-0.1384	-0.1500	-2.6257
5.9100	-0.1596	0.0000	-4.7927
1.6140	-0.0420	-0.1000	4.0517
-8.5321	-0.2104	0.1900	2.7190
-13.2051	-0.3419	-0.0200	-1.2838
-16.0354	0.1647	-0.1500	-6.8232
-4.3878	0.0802	-0.3100	-0.7418
21.3866	0.4293	0.1100	5.9885
8.1782	0.4734	-0.0800	2.6159
13.6502	0.4046	0.0000	-0.4825
4.2952	0.3283	-0.1700	0.8840
-8.8056	-0.1619	-0.1400	3.0720
0.1567	0.0914	0.0600	1.0209
1.0234	0.2405	0.0700	-0.6127
9.6959	0.1242	0.1300	-0.6822
-8.6391	-0.1573	0.3800	1.0200
12.9444	0.0331	0.3500	3.7016
1.0147	0.5823	-0.0600	1.2601
1.8308	0.3125	-0.0100	2.3797
-8.0588	0.0821	0.0600	1.5718
3.4469	0.2949	-0.1800	-0.3178
-5.1850	0.0858	0.0000	1.5160
-7.0497	0.0939	-0.1100	1.6003
3.1590	-0.0694	0.1300	0.8228
2.9790	0.2978	-0.1100	0.0863
3.6383	0.5281	-0.0100	1.4799
3.4717	-0.0648	0.1600	2.5412
9.3581	0.0041	-0.0100	1.4216
2.1656	-0.0608	0.0500	2.6906
9.5813	0.5461	0.1800	4.6014
-2.3347	0.4508	0.2800	-3.0809
0.8003	0.2247	-0.0200	-0.0884
5.4596	0.3999	0.0300	-1.8349
5.4774	0.4142	0.1100	1.7875
-3.0615	0.1589	-0.0700	1.9378
4.4804	0.0079	-0.0200	1.4164
-4.2008	0.0555	0.0000	2.2714
3.1386	0.1149	0.1100	1.5169
0.7377	0.1741	0.1500	-4.0815
-21.6803	-0.3327	-0.0300	-2.2594
-13.9973	-0.3219	-0.2900	-5.8960
3.6872	0.1909	-0.1200	1.5491
6.7175	0.4242	-0.0300	5.5017
5.6602	0.5602	-0.1100	1.7673
9.3667	0.5297	-0.0400	3.4980
-4.8610	0.2111	-0.1300	-1.7050
-10.6951	0.0195	-0.3400	1.2345
4.8041	0.1677	-0.4300	3.6001
-4.5300	-0.0039	0.0000	-3.3468
3.8301	0.0779	0.0700	2.8799
-5.3931	0.2295	0.0100	-0.1502
5.5334	-0.0544	0.1000	4.1838
4.8765	-0.0934	0.0500	2.2876
-4.0210	0.3884	-0.1000	3.1437
-12.9368	0.2748	-0.2600	-0.0271
-54.8254	-0.2167	-0.6300	-21.1562
-56.8125	-0.6725	-0.2100	4.0484
54.5621	0.0000	0.0100	5.5506
29.3704	0.5484	0.0600	6.1453
6.0763	0.5030	-0.1100	3.2624
3.9259	0.3160	0.0300	5.5805
-6.6146	0.1384	0.0300	-0.7753
-0.5821	0.0423	0.1100	1.5679
3.8342	-0.0615	0.0800	3.7403
13.8465	0.0922	0.0600	4.0401
10.0671	0.4252	0.1500	2.6290
12.6971	0.5452	0.1800	2.3365
5.4228	0.7085	0.3500	0.6948
-0.9835	0.8159	0.0300	5.7312
5.4391	0.7982	-0.0200	0.6420
9.1018	0.9281	-0.1000	1.6807
1.5431	0.4773	-0.2000	2.9116
-6.7919	0.2086	-0.0400	2.0526
5.6264	0.2701	0.0900	-0.1947
12.8564	0.8277	0.2100	0.3405
-2.9013	0.4905	-0.0200	4.5292
-9.8715	0.3053	-0.0900	0.1581
14.8857	0.8394	0.2900	-2.1833
9.6380	0.9100	0.1700	-3.0599
16.8882	1.3235	0.2000	-1.0131
-6.3937	0.5584	0.6200	0.0007
7.3567	1.0973	0.1500	-8.3291
4.7159	1.3626	0.2400	-3.5627
-12.2299	-0.0101	-0.2400	0.3273
-8.1462	-0.0371	0.0000	6.1190
-10.5871	0.2159	0.6200	-7.6961
3.8303	0.4035	0.4600	-3.2859
-3.6998	-0.1007	-0.0900	5.0102
-9.8706	-0.3061	-0.2700	-0.1305
2.1740	0.7953	-0.0900	1.2264
-1.6651	0.5567	0.2200	2.9610
-4.7307	0.2755	-0.0900	-2.7617
8.0840	0.5587	-0.2000	3.7806
-10.4312	0.2535	0.1100	0.5977
-1.8755	0.3217	0.1800	4.6926
